MDEC-23,MATS2v,ATSC8s,VE3_Dt,CrippenMR,SpMax7_Bhe,SpMin1_Bhs,C1SP2,GATS8e,GATS8s,SpMax5_Bhv,VE3_Dzi,VPC-4,Class
60.1757,-0.0231,-0.6667,-167.1241,0,3.4009,2.3109,4,1.0229,1.0575,3.5545,-15.594,4.1692,NonToxic
44.5031,-0.1236,-16.5096,-16.208,172.2,3.3611,2.1117,2,1.7155,1.7013,3.6066,-14.3317,2.0821,NonToxic
37.5488,0.0662,19.3467,-159.1796,173.4028,3.2705,2.0198,8,0.6992,0.7828,3.6441,-25.4493,2.873,NonToxic
40.5929,0.0714,-9.5672,-21.4416,177.2726,3.2748,2.0191,6,0.9951,1.0298,3.6564,-19.6376,3.0444,NonToxic
52.7343,-0.0861,-11.8892,-2.078,171.1315,3.4094,2.1664,2,0.7363,0.7427,3.5216,-8.2157,2.9469,NonToxic
52.3812,-0.0885,-5.4632,-150.1094,165.3539,3.243,2.0166,2,0.9038,0.884,3.6654,-159.1796,2.7131,NonToxic
56.0611,-0.0755,-27.9513,-154.141,170.362,3.3634,2.0638,4,1.1138,1.0788,3.432,-153.7582,2.9777,NonToxic
40.6558,-0.1118,12.4103,-5.2389,146.861,3.2286,2.1299,1,0.4525,0.6483,3.5081,-10.1782,2.4301,NonToxic
31.9506,-0.0834,-2.5748,-7.0184,122.4998,3.065,2.1792,3,1.72,1.7228,3.3155,-7.9593,0,NonToxic
35.6989,-0.081,-1.2364,-123.9632,135.4757,3.0814,2.0303,4,1.2051,1.1755,3.3043,-126.4585,2.4568,NonToxic
32.2745,0.0469,-16.1949,-133.8556,136.091,3.0399,1.8866,6,1.1013,0.9378,3.2767,-18.1513,2.1431,NonToxic
40.393,-0.0206,-7.2971,-7.3451,153.72,3.2543,2.0997,6,1.0447,1.0954,3.5709,-11.5899,2.4416,NonToxic
35.8397,-0.1271,-1.4314,-17.0606,138.144,2.9633,2.0809,1,0.9463,0.9802,3.5487,-3.5584,1.5404,NonToxic
32.6743,0.013,6.5294,-7.4389,134.8915,3.1259,1.9682,3,0.6175,0.7651,3.3041,-7.6888,2.5585,NonToxic
52.0187,-0.0833,14.2727,-2.7315,148.224,3.1155,2.0597,4,0.8224,0.6571,3.5641,-137.52,3.1324,NonToxic
44.7998,-0.0859,-8.9637,-13.9358,158.9844,3.243,1.9955,1,1.1836,1.625,3.5641,-15.3511,2.2108,NonToxic
49.4774,-0.0726,-59.1102,-8.148,164.8552,3.3556,1.9893,2,1.1996,1.3143,3.5706,-2.7721,2.9529,NonToxic
23.4488,0.2659,-110.8011,-134.5772,145.6294,3.2203,2.3475,0,1.566,1.6037,3.2935,-18.2903,3.9015,NonToxic
44.591,0.0148,-11.7945,-4.3749,170.728,3.3199,1.9607,3,0.6409,0.7348,3.5836,-10.9582,3.1316,NonToxic
65.0939,-0.0296,-48.9001,-18.0263,180.2179,3.3442,2.2187,3,2.209,1.9261,3.6586,-10.773,0,NonToxic
51.1057,0.0857,-6.2778,-11.1373,180.5565,3.376,2.0297,4,1.0927,1.2492,3.567,-3.8109,3.0838,NonToxic
36.9243,-0.0098,-5.7539,-18.5344,149.8797,3.1505,1.9602,3,1.1114,1.4821,3.4497,-7.3182,2.1578,NonToxic
47.536,-0.0404,25.4101,-20.9289,134.6085,3.1852,2.2248,2,0.7225,0.7231,3.3664,-13.5431,2.6644,NonToxic
39.6797,-0.0988,38.8724,-6.8185,138.1843,3.0967,2.0974,4,0.4535,0.4965,3.357,-5.2316,2.0163,NonToxic
34.789,0.0104,15.9442,-3.5543,149.22,3.438,2.0331,3,0.514,0.5023,3.4083,-7.7379,3.0905,NonToxic
35.8792,0.2305,-17.3232,-5.1932,163.4162,3.2766,2.1348,2,0.9098,0.8243,3.3929,-9.7484,3.954,NonToxic
30.2222,-0.0817,-28.2326,-27.4846,152.7576,3.3432,1.9431,6,1.1746,1.0021,3.5864,-14.9565,2.0748,NonToxic
47.975,-0.0612,93.5082,-9.6258,143.9222,3.3979,2.2673,5,0.863,0.8797,3.4398,-5.336,2.8261,NonToxic
51.4783,-0.0891,0.2782,-2.6974,162.6035,3.3965,2.1717,2,0.657,0.684,3.513,-6.5423,2.7627,NonToxic
39.853,-0.0918,16.2599,-139.5868,150.8584,3.1835,2.0073,0,0.8919,0.6782,3.5489,-139.7282,2.4767,NonToxic
36.4379,0.0681,-4.3142,-6.2701,121.315,2.9929,2.007,2,1.1395,1.2112,3.2087,-8.244,2.077,NonToxic
39.6365,0.0498,-1.2021,-144.129,177.693,3.2639,2.0935,2,0.8982,0.8252,3.5293,-28.8073,3.0143,NonToxic
54.58,0.0077,-9.1381,-2.3594,166.967,3.3915,2.1717,3,0.704,0.8124,3.5176,-6.0215,2.8921,NonToxic
46.3298,0.0404,-14.7878,-8.634,173.3785,3.3677,2.0446,4,1.3997,1.5228,3.566,-2.6569,2.8794,NonToxic
60.0166,0.0117,-48.7226,-7.1589,164.1497,3.3648,2.0084,2,1.1695,1.3158,3.5378,-7.2612,3.937,NonToxic
36.6323,-0.1162,-39.581,-9.9645,137.8637,3.0917,2.0366,5,1.0045,1.0523,3.3646,-8.0746,2.1645,NonToxic
40.1784,0.0112,-68.2571,-5.1773,159.349,3.3357,1.9804,2,1.628,1.6968,3.4964,-2.9501,2.5018,NonToxic
52.249,-0.0885,-28.8135,-5.2692,169.4775,3.3579,1.9488,3,1.3701,1.3532,3.6663,-4.7945,3.1002,NonToxic
30.0382,0.0442,4.1183,-6.7722,142.8927,3.0738,2.0944,3,1.1636,1.2206,3.3205,-8.1812,2.7556,NonToxic
34.5325,-0.0947,13.3295,-9.761,123.845,3.0169,2.0561,4,0.9827,1.1623,3.2315,-13.7789,1.8845,NonToxic
51.3093,-0.0885,-13.1022,-152.7763,165.3539,3.227,2.0164,2,0.9665,0.9345,3.6653,-147.2642,2.726,NonToxic
41.1121,0.0595,-63.8953,-3.9895,163.7244,3.2781,2.0048,0,1.0424,1.1147,3.5163,-3.3785,2.9489,NonToxic
40.4145,0.0755,-0.9058,-2.9904,144.4535,3.1369,2.2194,1,1.2305,1.1848,3.3818,-2.2809,2.4603,NonToxic
43.2379,-0.0723,-12.9847,-129.93,140.4875,3.0919,2.0629,4,0.8821,0.9128,3.3215,-123.7028,2.5177,NonToxic
48.0809,-0.1106,-46.0827,-5.9365,141.9105,3.2686,2.0359,2,1.4909,1.5793,3.3562,-11.0446,3.0999,NonToxic
43.3655,-0.0635,3.4493,-9.16,173.075,3.3202,1.9958,4,0.9211,0.7393,3.6707,-6.9491,2.0446,NonToxic
38.5752,0.0235,5.2348,-6.9234,162.435,3.2562,2.0084,4,0.7188,0.6906,3.5379,-3.8455,2.572,NonToxic
31.647,0.0561,15.1672,-9.2996,140.502,3.1549,1.9752,3,0.7149,0.6769,3.3428,-4.0117,2.7095,NonToxic
65.256,0.0767,-6.6961,-153.3574,173.5768,3.4642,2.143,0,0.557,1.2861,3.6914,-33.0045,6.1854,NonToxic
57.6723,-0.0458,20.3301,-6.3425,174.476,3.2838,2.1689,1,1.5711,1.6353,3.6586,-15.1947,0,NonToxic
